,Scores,Alive_Duration,Epsilon_Discount,Learning_Rate,Discount_Rate
0,0,2392,0.9992,0.1,0.95
1,0,2392,0.9992,0.1,0.95
2,0,2392,0.9992,0.1,0.95
3,0,2392,0.9992,0.1,0.95
4,0,2392,0.9992,0.1,0.95
5,0,2392,0.9992,0.1,0.95
6,0,2392,0.9992,0.1,0.95
7,0,2392,0.9992,0.1,0.95
8,0,2392,0.9992,0.1,0.95
9,0,2392,0.9992,0.1,0.95
10,0,2392,0.9992,0.1,0.95
11,0,2392,0.9992,0.1,0.95
12,0,2392,0.9992,0.1,0.95
13,1,2392,0.9992,0.1,0.95
14,0,2392,0.9992,0.1,0.95
15,0,2392,0.9992,0.1,0.95
16,0,2392,0.9992,0.1,0.95
17,0,2392,0.9992,0.1,0.95
18,0,2392,0.9992,0.1,0.95
19,0,2392,0.9992,0.1,0.95
20,0,2392,0.9992,0.1,0.95
21,0,2392,0.9992,0.1,0.95
22,0,2392,0.9992,0.1,0.95
23,0,2392,0.9992,0.1,0.95
24,0,2392,0.9992,0.1,0.95
25,0,2392,0.9992,0.1,0.95
26,0,2392,0.9992,0.1,0.95
27,0,2392,0.9992,0.1,0.95
28,0,2392,0.9992,0.1,0.95
29,0,2392,0.9992,0.1,0.95
30,0,2392,0.9992,0.1,0.95
31,0,2392,0.9992,0.1,0.95
32,0,2392,0.9992,0.1,0.95
33,2,2392,0.9992,0.1,0.95
34,0,2392,0.9992,0.1,0.95
35,0,2392,0.9992,0.1,0.95
36,0,2392,0.9992,0.1,0.95
37,0,2392,0.9992,0.1,0.95
38,0,2392,0.9992,0.1,0.95
39,0,2392,0.9992,0.1,0.95
40,0,2392,0.9992,0.1,0.95
41,0,2392,0.9992,0.1,0.95
42,0,2392,0.9992,0.1,0.95
43,0,2392,0.9992,0.1,0.95
44,1,2392,0.9992,0.1,0.95
45,0,2392,0.9992,0.1,0.95
46,0,2392,0.9992,0.1,0.95
47,0,2392,0.9992,0.1,0.95
48,0,2392,0.9992,0.1,0.95
49,0,2392,0.9992,0.1,0.95
50,0,2392,0.9992,0.1,0.95
51,0,2392,0.9992,0.1,0.95
52,0,2392,0.9992,0.1,0.95
53,0,2392,0.9992,0.1,0.95
54,1,2392,0.9992,0.1,0.95
55,0,2392,0.9992,0.1,0.95
56,0,2392,0.9992,0.1,0.95
57,2,2392,0.9992,0.1,0.95
58,0,2392,0.9992,0.1,0.95
59,0,2392,0.9992,0.1,0.95
60,0,2392,0.9992,0.1,0.95
61,0,2392,0.9992,0.1,0.95
62,0,2392,0.9992,0.1,0.95
63,2,2392,0.9992,0.1,0.95
64,0,2392,0.9992,0.1,0.95
65,0,2392,0.9992,0.1,0.95
66,0,2392,0.9992,0.1,0.95
67,0,2392,0.9992,0.1,0.95
68,1,2392,0.9992,0.1,0.95
69,0,2392,0.9992,0.1,0.95
70,0,2392,0.9992,0.1,0.95
71,0,2392,0.9992,0.1,0.95
