,Scores,Alive_Duration,Epsilon_Discount,Learning_Rate,Discount_Rate
158,0,1350,0.9992,0.001,0.95
159,1,1350,0.9992,0.001,0.95
160,1,1350,0.9992,0.001,0.95
161,0,1350,0.9992,0.001,0.95
162,1,1350,0.9992,0.001,0.95
163,0,1350,0.9992,0.001,0.95
164,1,1350,0.9992,0.001,0.95
165,0,1350,0.9992,0.001,0.95
166,0,1350,0.9992,0.001,0.95
167,0,1350,0.9992,0.001,0.95
168,0,1350,0.9992,0.001,0.95
169,0,1350,0.9992,0.001,0.95
170,1,1350,0.9992,0.001,0.95
171,1,1350,0.9992,0.001,0.95
172,1,1350,0.9992,0.001,0.95
173,1,1350,0.9992,0.001,0.95
174,0,1350,0.9992,0.001,0.95
175,0,1350,0.9992,0.001,0.95
176,0,1350,0.9992,0.001,0.95
177,1,1350,0.9992,0.001,0.95
178,1,1350,0.9992,0.001,0.95
179,0,1350,0.9992,0.001,0.95
180,0,1350,0.9992,0.001,0.95
181,0,1350,0.9992,0.001,0.95
182,2,1350,0.9992,0.001,0.95
183,0,1350,0.9992,0.001,0.95
184,0,1350,0.9992,0.001,0.95
185,1,1350,0.9992,0.001,0.95
186,0,1350,0.9992,0.001,0.95
187,2,1350,0.9992,0.001,0.95
188,2,1350,0.9992,0.001,0.95
189,1,1350,0.9992,0.001,0.95
190,0,1350,0.9992,0.001,0.95
191,1,1350,0.9992,0.001,0.95
192,0,1350,0.9992,0.001,0.95
193,0,1350,0.9992,0.001,0.95
194,1,1350,0.9992,0.001,0.95
195,1,1350,0.9992,0.001,0.95
196,1,1350,0.9992,0.001,0.95
197,0,1350,0.9992,0.001,0.95
198,1,1350,0.9992,0.001,0.95
199,1,1350,0.9992,0.001,0.95
200,0,1350,0.9992,0.001,0.95
201,1,1350,0.9992,0.001,0.95
202,0,1350,0.9992,0.001,0.95
203,0,1350,0.9992,0.001,0.95
204,0,1350,0.9992,0.001,0.95
205,1,1350,0.9992,0.001,0.95
206,1,1350,0.9992,0.001,0.95
207,0,1350,0.9992,0.001,0.95
208,0,1350,0.9992,0.001,0.95
209,0,1350,0.9992,0.001,0.95
210,0,1350,0.9992,0.001,0.95
211,0,1350,0.9992,0.001,0.95
212,1,1350,0.9992,0.001,0.95
213,0,1350,0.9992,0.001,0.95
214,1,1350,0.9992,0.001,0.95
215,1,1350,0.9992,0.001,0.95
216,0,1350,0.9992,0.001,0.95
217,1,1350,0.9992,0.001,0.95
218,4,1350,0.9992,0.001,0.95
219,1,1350,0.9992,0.001,0.95
220,0,1350,0.9992,0.001,0.95
221,0,1350,0.9992,0.001,0.95
222,1,1350,0.9992,0.001,0.95
223,0,1350,0.9992,0.001,0.95
224,1,1350,0.9992,0.001,0.95
225,2,1350,0.9992,0.001,0.95
226,1,1350,0.9992,0.001,0.95
227,0,1350,0.9992,0.001,0.95
228,0,1350,0.9992,0.001,0.95
229,0,1350,0.9992,0.001,0.95
230,0,1350,0.9992,0.001,0.95
231,1,1350,0.9992,0.001,0.95
232,0,1350,0.9992,0.001,0.95
233,3,1350,0.9992,0.001,0.95
234,1,1350,0.9992,0.001,0.95
235,0,1350,0.9992,0.001,0.95
236,1,1350,0.9992,0.001,0.95
237,0,1350,0.9992,0.001,0.95
238,1,1350,0.9992,0.001,0.95
239,0,1350,0.9992,0.001,0.95
240,1,1350,0.9992,0.001,0.95
241,0,1350,0.9992,0.001,0.95
242,1,1350,0.9992,0.001,0.95
243,1,1350,0.9992,0.001,0.95
244,1,1350,0.9992,0.001,0.95
245,0,1350,0.9992,0.001,0.95
246,1,1350,0.9992,0.001,0.95
247,0,1350,0.9992,0.001,0.95
248,2,1350,0.9992,0.001,0.95
249,1,1350,0.9992,0.001,0.95
250,0,1350,0.9992,0.001,0.95
251,1,1350,0.9992,0.001,0.95
252,3,1350,0.9992,0.001,0.95
253,2,1350,0.9992,0.001,0.95
254,2,1350,0.9992,0.001,0.95
255,1,1350,0.9992,0.001,0.95
256,0,1350,0.9992,0.001,0.95
257,1,1350,0.9992,0.001,0.95
258,1,1350,0.9992,0.001,0.95
259,0,1350,0.9992,0.001,0.95
260,1,1350,0.9992,0.001,0.95
261,0,1350,0.9992,0.001,0.95
262,0,1350,0.9992,0.001,0.95
263,1,1350,0.9992,0.001,0.95
264,1,1350,0.9992,0.001,0.95
265,0,1350,0.9992,0.001,0.95
266,1,1350,0.9992,0.001,0.95
267,0,1350,0.9992,0.001,0.95
268,1,1350,0.9992,0.001,0.95
269,0,1350,0.9992,0.001,0.95
270,0,1350,0.9992,0.001,0.95
271,0,1350,0.9992,0.001,0.95
272,1,1350,0.9992,0.001,0.95
273,0,1350,0.9992,0.001,0.95
274,0,1350,0.9992,0.001,0.95
